State,Expenditure
Alabama,18561
Alaska,27284
Arizona,17511
Arkansas,18675
California,20598
Colorado,17166
Connecticut,24978
Delaware,25798
District of Columbia,28763
Florida,19732
Georgia,17517
Hawaii,20582
Idaho,16297
Illinois,20381
Indiana,21032
Iowa,19577
Kansas,18817
Kentucky,20514
Louisiana,21031
Maine,24154
Maryland,21680
Massachusetts,26638
Michigan,19793
Minnesota,21693
Mississippi,18788
Missouri,19841
Montana,20424
Nebraska,21028
Nevada,16696
New Hampshire,23587
New Jersey,23734
New Mexico,17804
New York,28014
North Carolina,17835
North Dakota,22604
Ohio,20957
Oklahoma,18889
Oregon,20141
Pennsylvania,23207
Rhode Island,23387
South Carolina,17532
South Dakota,24990
Tennessee,18672
Texas,16812
Utah,15044
Vermont,25510
Virginia,18390
Washington,18530
West Virginia,25536
Wisconsin,19963
Wyoming,21978
