Nation/State,
,Percent
,
,
,
United States,91.4
Alabama,90.1
Alaska,88.6
Arizona,89.3
Arkansas,90.8
California,93
Colorado,92
Connecticut,94.8
Delaware,94.3
District of Columbia,96.3
Florida,87.9
Georgia,87.4
Hawaii,96.1
Idaho,91.2
Illinois,93
Indiana,92.5
Iowa,95.2
Kansas,90.8
Kentucky,94.3
Louisiana,92.4
Maine,94.3
Maryland,93.9
Massachusetts,97.5
Michigan,95
Minnesota,95.5
Mississippi,88.1
Missouri,90.6
Montana,91.8
Nebraska,92.9
Nevada,88.4
New Hampshire,94.9
New Jersey,92.8
New Mexico,90
New York,94.8
North Carolina,89.6
North Dakota,92.1
Ohio,93.5
Oklahoma,86.2
Oregon,93.9
Pennsylvania,94.5
Rhode Island,95.7
South Carolina,90
South Dakota,90.5
Tennessee,90
Texas,82
Utah,91
Vermont,96.3
Virginia,93.2
Washington,93.6
West Virginia,93.9
Wisconsin,94.6
Wyoming,87.8
